Ticker,returnOnAssets,grossMargins,operatingMargins,revenueGrowth,earningsGrowth,currentRatio,marketCap,Label
DAAZ,,0.09629,0.04685,0.432,-0.501,1.664,5272079695872.0,Tidak Memenuhi
SMGA,0.0521,0.057729997,0.04247,2.367,3.379,1.78,1198750040064.0,Tidak Memenuhi
OKAS,0.12597999,0.30422002,0.14187999,-0.129,,1.244,337029791744.0,Tidak Memenuhi
ZINC,-0.017239999,-0.12636,-0.50529,,,0.095,808000028672.0,Tidak Memenuhi
NICE,0.23419,0.2374,0.23929001,0.877,3.73,0.766,2469300011008.0,Tidak Memenuhi
BAJA,-0.00846,0.024530001,-0.02296,-0.065,,1.745,269999996928.0,Tidak Memenuhi
CHEM,0.0067299996,0.19709998,0.02507,-0.152,-0.661,2.631,151302914048.0,Tidak Memenuhi
EKAD,0.024230001,0.29628,0.04483,-0.005,-0.405,18.354,639379111936.0,Tidak Memenuhi
PPRI,0.02859,0.15819,0.02041,0.091,-0.226,4.434,380559687680.0,Tidak Memenuhi
FPNI,-0.0679,-0.01884,-0.059949998,-0.271,,1.686,1146681294848.0,Tidak Memenuhi
PBID,0.09583,0.18027,0.105459996,-0.045,-0.189,5.759,3675000143872.0,Memenuhi
AYLS,-0.04374,-0.44781,-2.88698,0.6,,1578.405,213355806720.0,Tidak Memenuhi
OPMS,-0.05119,-0.13461,-7.69921,-0.98,,45.89,80964329472.0,Tidak Memenuhi
SPMA,0.03082,0.14406,0.07719,0.023,-0.767,2.044,1154397765632.0,Tidak Memenuhi
PICO,0.02053,0.116569996,0.052470002,0.195,1.285,1.163,130726248448.0,Tidak Memenuhi
SRSN,0.03628,0.16739,0.085810006,0.117,0.178,2.129,391299989504.0,Tidak Memenuhi
GDST,0.02469,0.111219995,0.05668,-0.044,-0.682,1.09,1062887489536.0,Tidak Memenuhi
ASPR,,0.24605,-0.05548,0.191,,1.772,265776005120.0,Tidak Memenuhi
CLPI,0.05298,0.13799,0.06771,0.137,0.862,2.776,444190818304.0,Memenuhi
SMLE,0.02338,0.25176,0.05392,-0.014,0.216,1.92,656539189248.0,Tidak Memenuhi
MDKI,0.0208,0.2211,0.10465,0.206,2.142,8.99,483258630144.0,Tidak Memenuhi
BLES,0.05525,0.2644,0.042940002,0.136,-0.811,0.526,1457993809920.0,Memenuhi
SULI,-0.04487,0.042940002,-0.28801,3.866,,0.372,897550319616.0,Tidak Memenuhi
CITA,0.03994,0.39868,0.20259,-0.024,1.618,10.993,19524581588992.0,Tidak Memenuhi
